"Name","id.review","Text","Neg or Pos","Province","Type"
"Hotel 608",4,"soggiornato la seconda settimana di settembre2017  posto incantevole posizionato su una alta duna con incredibile vista mare  relax completo  panorama unico  rapporto qualit  prezzo eccellente  il ristorante della struttura offre ottimi piatti di cucina locale e non solo  colazione ottima servita su terrazza  sempre vista mare  lo staff   cordiale e gentile  oltre a fantastici tramonti consiglio di mettere la sveglia e godersi l aria frizzantina dell alba e i colori unici di questo paradiso immerso nella natura ","Pos","Olbia-Tempio","3-Star"
"Hotel 545",1729,"very large  nice suit room","Pos","Olbia-Tempio","3-Star"
"Hotel 597",120,"struttura molto scadente","Neg","Olbia-Tempio","2-Star"
"Hotel 427",154,"posizione ottima  sia per spostarsi a piedi che in macchina  personale gentile e cordialissimo  sempre a disposizione per qualsiasi richiesta  colazione abbondante  fantastica la piscina interna e il bar aperto 24 h su 24  ottimo rapporto qualit  prezzo ci torneremo ","Pos","Olbia-Tempio","4-Star"
"Hotel 428",93,"niente","Neg","Sassari","4-Star"
"Hotel 91",28,"il materasso","Neg","Cagliari","Other Facilities"
"Hotel 263",52,"great location  staff  breakfast and restaurant ","Pos","Cagliari","Other Facilities"
"Hotel 163",58,"posizione  e location","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 265",435,"anonymity of a big hotel ","Neg","Nuoro","3-Star"
"Hotel 246",18,"the birds are loud in the morning    ","Neg","Oristano","3-Star"
"Hotel 107",47,"la gentilezza e la disponibilit  della sig   tabarchino   mentre curava le sue orchidee e ricamava   ci raccontava la storia di carloforte  io la chiamavo cos  x l origine genovese  pegli   tutto molto bello  albergo semplice e ordinato  pulitissimo  colazione ottima   grazie a presto   coniugi sassaresi  ","Pos","Cagliari","3-Star"
"Hotel 411",101,"le ragazze delle pulizie ci hanno svegliato alle 8 del mattino facendo un baccano incredibile senza preoccuparsi che magari nelle stanze vicine si dormiva","Neg","Olbia-Tempio","5-Star"
"Hotel 590",28,"tutto ottimo  camera pulitissima e accogliente ","Pos","Olbia-Tempio","4-Star"
"Hotel 274",468,"everything was perfect ","Pos","Nuoro","4-Star"
"Hotel 249",3,"il servizio e la professionalit  del personale  la pulizia dei tavoli  insomma tutto quello che sta attorno ad un  bel posto e che fa diventare piacevole un soggiorno  pi  che un hotel lo chiamerei una bed and breakfast   la colazione miserrima    servita  non prima delle  9 30 sulle sotto tovaglie sporche della sera prima  il personale  vestito peraltro in modo veramente trasandato  fuma e chiacchiera tutto il pomeriggio seduto all ingresso della struttura sui divanetti del portico   abbiamo chiesto un consiglio su come raggiungere la vicina marina 5 min a piedi     ma nessuno sapeva qual era la strada  ed anzi ci hanno indicato per affittare dei gommoni una struttura distante che si   poi rivelata molto pi  cara   il doppio        di quella molto vicina all hotel  di cui evidentemente non sapevano l esistenza   insomma il rapporto qualit  prezzo   pessimo di certo non si tratta di un hotel ma di una locanda mal gestita che utilizza la posizione per permettersi dei prezzi che assolutamente non sono giustificati ed un nome  hotel  altrettanto ingiustificato","Neg","Ogliastra","4-Star"
"Hotel 177",40,"la camera e la saletta colazioni   ","Pos","Nuoro","3-Star"
"Hotel 532",20,"colazione","Neg","Sassari","3-Star"
"Hotel 294",33,"la posizione","Pos","Ogliastra","Other Facilities"
"Hotel 56",20,"nulla   forse il men  troppe pietanze ripetute ma   una critica costruttiva ","Neg","Ogliastra","3-Star"
"Hotel 143",3,"spiaggia","Neg","Cagliari","3-Star"
"Hotel 297",66,"la posizione centralissima  il garage per la moto e la colazione","Pos","Cagliari","3-Star"
"Hotel 553",137,"breakfast was perhaps a little basic and by the third morning was feeling a little repetitive  but everything was clean and well organised and there was really very little to be unhappy with ","Neg","Sassari","4-Star"
"Hotel 414",17,"ubicazione in centro  silenzioso  facile da raggiungere","Pos","Nuoro","3-Star"
"Hotel 420",43,"niente    ","Pos","Olbia-Tempio","3-Star"
"Hotel 287",98,"nulla","Neg","Cagliari","3-Star"
"Hotel 518",69,"arredo camere datato","Neg","Olbia-Tempio","3-Star"
"Hotel 454",39,"aereazione in bagno","Neg","Sassari","3-Star"
"Hotel 385",10,"posizione ottima per raggiungere molti punti d interesse  la stanza ampia e pulita  tutto lo staff super gentile e disponibile   ci hanno aiutato tantissimo a risolvere un problema avuto con la macchina a noleggio e per questo li ringraziamo ancora tanto  ","Pos","Nuoro","Other Facilities"
"Hotel 76",7,"la struttura   nuova  progettata e arredata con gusto  lo staff cordiale e disponibile  la residenza ha tutti i servizi importanti ed   dotata anche di un buon ristorante  con un menu semplice  abbastanza ristretto ma con piatti ben cucinati e fatti con prodotti di qualit ","Pos","Ogliastra","3-Star"
"Hotel 84",8,"more written information about facilities  meal times  about locality etc ","Neg","Cagliari","3-Star"
"Hotel 149",81,"il personale poco accogliente e i prezzi del cibo troppo alti  ","Neg","Ogliastra","3-Star"
"Hotel 420",247,"la stanza era direttamente sulla strada  tipo motel ","Neg","Olbia-Tempio","3-Star"
"Hotel 607",25,"il panorama che si affacciava dalla casa","Pos","Olbia-Tempio","3-Star"
"Hotel 159",108,"l ubicazione ottima  la terrazza  la cordialit  dello staff","Pos","Cagliari","3-Star"
"Hotel 270",92,"mi   piaciuto tutto","Neg","Medio Campidano","3-Star"
"Hotel 595",45,"nothing much to criticise really  tho the tv in our room could ve been bigger and better ","Neg","Olbia-Tempio","4-Star"
"Hotel 400",81,"the general facilities and the helpful staff","Pos","Olbia-Tempio","4-Star"
"Hotel 270",160,"nothing","Neg","Medio Campidano","3-Star"
"Hotel 498",78,"swimming pool  gardens and surroundings","Pos","Olbia-Tempio","4-Star"
"Hotel 3",111,"  owners    big room    pool    view   breakfast    quiet place   good starting point to explore nordern part of sardinia","Pos","Sassari","3-Star"
"Hotel 423",162,"nice jacuzzi surrounded by nature good high quality breakfast great view big room","Pos","Olbia-Tempio","5-Star"
"Hotel 79",31,"proprietari molto disponibili  posto tranquillo  pur essendo un po  decentrato     risultato comodo al centro ","Pos","Ogliastra","3-Star"
"Hotel 70",91,"for a perfect holiday  for relaxing  nature  amazing beach   excellent food and wine  the restaurant is located in a beautiful set with see view and stunning sunset   room is very spacious  well decorated   very clean and also a nice view   the stuff is very helpful and willing to share  all information you might need to explore the beautiful area  around ","Pos","Medio Campidano","3-Star"
"Hotel 274",278,"niente","Neg","Nuoro","4-Star"
"Hotel 545",210,"parcheggio interno troppo incasinato  parcheggio esterno troppo distante   per arrivarci strade un po complesse ","Neg","Olbia-Tempio","3-Star"
"Hotel 427",420,"camera confortevole  bella piscina  parcheggio privato","Pos","Olbia-Tempio","4-Star"
"Hotel 30",54,"manca un modo per avere circolo d aria esterna di notte  senza dover dormire con la porta aperta  ","Neg","Cagliari","3-Star"
"Hotel 510",65,"excellent place for solo travelers to stay in  rooms are very cosy and clean  the location is also ideal  close to the cliffside which is a favorite spot for tourists ","Pos","Olbia-Tempio","3-Star"
"Hotel 79",10,"nulla","Neg","Ogliastra","3-Star"
"Hotel 567",116,"very clean   comfortable beds   friendly owners   great location next to the beach","Pos","Olbia-Tempio","4-Star"
"Hotel 172",49,"poche cose ma non vale la pena di raccontarle ","Neg","Oristano","Other Facilities"
"Hotel 55",158,"non c   stata disponibilit  per il ricovero delle biciclette  le abbiamo dovute lasciare una notte dentro la macchina e la seconda nel garage aperto all interno della struttura  pecca che speriamo verr  risolta perch   come amanti della mtb  non abbiamo dormito sereni  nonostante l albergo sia assolutamente da raccomandare ","Neg","Carbonia-Iglesias","Other Facilities"
"Hotel 112",18,"buon compeggio  ordinato  pulito con ottimi servizi igienici  buon ristorante e bar ","Pos","Carbonia-Iglesias","3-Star"
"Hotel 591",159,"the hotel may not look glam but it s very nice  the bed is very comfy and the staff are very nice  all basic amenities are available including aircon and good wifi  no english channels on the telly but with plenty to see in town it s not a problem  brekky is typical italian with mostly sweets  though cold meats  cheese and bread are available  staff will prepare coffee  parking off street is available and the centre of oristano is a short walk away   overall i would stay again ","Pos","Olbia-Tempio","3-Star"
"Hotel 582",22,"panorama mozzafiato  quiete assoluta  un esperienza da ripetere   questo posto e  veramente un paradiso  un oasi di felicita a picco sul mare  immerso nel verde e nella tranquillita  dei boschi  ma a dieci minuti dal centro abitato  torneremo e torneremmo ogni giorno se ne avessimo la possibilita  ","Pos","Olbia-Tempio","3-Star"
"Hotel 137",33,"le cene erano ottime  il servizio eccellente grazie","Pos","Ogliastra","3-Star"
"Hotel 30",40,"tenda della doccia molto fastidiosa  si spostava di continuo facendo allagare il bagno  non ci sono spazi per appendere gli asciugamani in bagno  troppa luce che penetra dalle finestre anche se la tenda e chiusa","Neg","Cagliari","3-Star"
"Hotel 130",30,"great location and wonderful staff ","Pos","Cagliari","3-Star"
"Hotel 544",146,"il fronte albergo non dimostra il livello alto della strutyura","Neg","Olbia-Tempio","4-Star"
"Hotel 537",33,"unica nota negativa  i lettini della terza fila in spiaggia vengono praticamente prenotati con gli asciugamani senza per  essere occupati prima delle 10 di mattina","Neg","Sassari","4-Star"
"Hotel 183",2,"la posizione   magnifica","Pos","Cagliari","3-Star"
"Hotel 51",121,"sono anni che soggiorno in questo hotel ed   meraviglioso  ","Pos","Cagliari","5-Star"
"Hotel 37",359,"lovely  slower paced town  the rooms were comfortable  we didn t spend much time on our small terrace but breakfast outdoors was lovely  there can be mosquitoes in the rooms so do plug in the mosquito zappers that are provided ","Pos","Oristano","3-Star"
"Hotel 614",116,"l impianto di condizionamento era particolarmente rumoroso ","Neg","Olbia-Tempio","4-Star"
"Hotel 356",96,"wellnes price ridicuously high  unacceptable  hotel crew impolite  very smelly environment due to close agricultural business ","Neg","Sassari","Other Facilities"
"Hotel 189",119,"nearly everything","Pos","Ogliastra","3-Star"
"Hotel 545",552,"troppo dispersivo per una notte di lavoro","Neg","Olbia-Tempio","3-Star"
"Hotel 248",56,"nulla","Neg","Cagliari","3-Star"
"Hotel 420",521,"ragazzi mettete qualcosa in bagno dove si possono appendere gli asciugamani     grazie","Neg","Olbia-Tempio","3-Star"
"Hotel 420",613,"zona rumorosa ","Neg","Olbia-Tempio","3-Star"
"Hotel 54",24,"non c era sky nella televisione dell hotel e non ho potuto vedere l incontro degli usa open in eurosport  nessun collegamento wifi nelle stanze   ","Neg","Ogliastra","3-Star"
"Hotel 304",483,"nothing  couldn t hear the planes even though so close","Neg","Cagliari","3-Star"
"Hotel 205",53,"struttura organizzata e pulita  cucina eccellente colazione super     staff professionale e disponibile   ottima posizione e spiaggia privata ","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 389",71,"le camere  la nostra era molto piccola e senza finestra","Neg","Sassari","3-Star"
"Hotel 178",58,"la posizione  l ampiezza e pulizia della camera   e l aria condizionata silenziosa e perfettamente funzionante","Pos","Ogliastra","3-Star"
"Hotel 228",203,"pulizia arredamento obsoleto e fatiscente","Neg","Cagliari","4-Star"
"Hotel 518",69,"staff cordiale  camera ampia","Pos","Olbia-Tempio","3-Star"
"Hotel 256",197,"personale restio a fornire indicazioni  camera ed ambienti comuni     spartani e sporchini  letti stretti ","Neg","Carbonia-Iglesias","3-Star"
"Hotel 490",190,"ottima la posizione ed ottima colazione  anche la stanza era confortevole bellissima la terrazza sul porto lo consiglierei e sicuramente ci torner  ","Pos","Sassari","Other Facilities"
"Hotel 340",30,"collocazione   un po di rumore","Neg","Olbia-Tempio","4-Star"
"Hotel 205",137,"la gentilezza e disponibilit  dello staff sopra ogni cosa    ","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 614",264,"hotel curato  stanza accogliente e personale gentile  buona la colazione ","Pos","Olbia-Tempio","4-Star"
"Hotel 101",153,"no pool   waisted space upstairs around a gym and yoga area but could do so much with it  open it up and get a pool or jacuzzi at least ","Neg","Oristano","3-Star"
"Hotel 245",83,"excellent position  easy parking near hotel  very good sightseeing  i ve saw the sun falling sown the sea ","Pos","Carbonia-Iglesias","3-Star"
"Hotel 528",95,"children s room too far from us  staff didn t speak much english  pool opened late and closed early  breakfast just ok  30 45 mins of windy roads to beaches and other sites ","Neg","Olbia-Tempio","3-Star"
"Hotel 420",251,"posizione  personale cordiale e disponibile  camera  ","Pos","Olbia-Tempio","3-Star"
"Hotel 4",98,"location  excellent and interesting staff ","Pos","Cagliari","3-Star"
"Hotel 545",639,"la camera  enorme  ","Pos","Olbia-Tempio","3-Star"
"Hotel 201",43,"ottima posizione dell hotel  comodi parcheggi pubblici  personale molto cortese e professionale  check in out rapidi  camera e bagno perfettamente in ordine e puliti  grande comodit  del doppio lavabo e piacevole relax in vasca con idromassaggio  sala colazioni ordinata ed elegante  coperto preparato per singolo posto con posate di metallo  buffet fornito sia di proposte dolci che salate in poco ma ben organizzato spazio  ampia scelta di croissant  buona caffetteria del bar e non macchinette acqua e polvere  bar aperto anche durante la giornata con la collaborazione del personale di ricevimento che non fa rimpiangere gli addetti bar  week end lungo perfetto dal punto di vista della scelta alberghiera ","Pos","Cagliari","Other Facilities"
"Hotel 536",43,"pulizia della struttura  gentilezza del personale  abbondante colazione","Pos","Sassari","3-Star"
"Hotel 367",41,"camera ampia e comoda  posizione tranquilla  bagno grande  arredo  complimenti ","Pos","Olbia-Tempio","4-Star"
"Hotel 486",107,"la visuale di fronte l albergo","Neg","Olbia-Tempio","4-Star"
"Hotel 173",40,"nothing","Neg","Nuoro","4-Star"
"Hotel 81",45,"camere molto spaziose e pulizia accurata  cortesia e gentilezza  bellissima terrazza panoramica ","Pos","Oristano","Other Facilities"
"Hotel 265",7,"la posizione centrale  la disponibilit  della reception  il garage gratuito  ","Pos","Nuoro","3-Star"
"Hotel 43",308,"a better lounge area and bar near reception would be a plus","Neg","Oristano","3-Star"
"Hotel 478",78,"il personale che alla mia visibile arrabbiatura per come sono stato preso in giro prenotando dal sito dell hotel mi viene data una casa in affitto hanno cercato di mettere un minimo essenziale di riparo allacosa","Pos","Olbia-Tempio","4-Star"
"Hotel 82",21,"materasso molto scomodo in quanto datato e usurato  colazione sufficiente ma non nell aspettativa di una struttura simile","Neg","Ogliastra","3-Star"
"Hotel 417",36,"le camere  specialmente quelle in basso verso la strada sono  un po tristi nell arredo e con poca luce    ","Neg","Sassari","3-Star"
"Hotel 208",134,"non saprei ","Neg","Ogliastra","4-Star"
"Hotel 386",154,"all new structure   warm  welcoming and polyglot reception staff   huge bed  silent room and comfortable mattress  here we found the best sleep we had in months ","Pos","Nuoro","3-Star"
"Hotel 205",51,"splendida struttura gestita molto bene da persone cordialissime e capaci  cucina e servizio ottimi  molto alto il rapporto qualit  prezzo  vacanza adatta a chi si vuol riposare in un angolo silenzioso di paradiso ","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 545",1347,"very friendly and helpful staff  they were all speaking english  very nice facilities  decoration in the room was a bit minimal but in general the room was clean and nice  had a lovely balcony as well ","Pos","Olbia-Tempio","3-Star"
"Hotel 34",100,"il nostro appartamento aveva le persiane da rifare  aria condizionata gratis  potenziare la wifi ","Neg","Ogliastra","Other Facilities"
"Hotel 94",139,"some staff were excellent  friendly and helpful but there were a couple of really surly ones working on the cocktail bar","Neg","Ogliastra","3-Star"
"Hotel 186",19,"colazione un po  carente","Neg","Oristano","3-Star"
"Hotel 396",248,"wi fi  parcheggio coperto gratuito  camera spaziosa per 3 persone ","Pos","Olbia-Tempio","3-Star"
"Hotel 479",79,"the location  is very close to cala gonone  the cleanliness of the room ","Pos","Sassari","3-Star"
"Hotel 359",125,"dated room  but hotel being updated  bar closed for 2 of 4 night stay because one night fell on a sunday and another was a bank holiday","Neg","Sassari","Other Facilities"
"Hotel 265",84,"formaggi","Pos","Nuoro","3-Star"
"Hotel 2",86,"struttura vecchia e camere non proprio da 4 stelle ","Neg","Cagliari","1-Star"
"Hotel 525",20,"quite difficult access to city centre   would be impractical without a car   not a particularly nice neighbourhood ","Neg","Olbia-Tempio","3-Star"
"Hotel 565",48,"colazione sdraio piscina","Neg","Olbia-Tempio","5-Star"
"Hotel 280",77,"la piscina   molto spaziosa e ben tenuta  possibilita  di fare colazione al bordo piscina   altrettanto apprezzata  ambienti ampi e ben arieggiati ","Pos","Carbonia-Iglesias","3-Star"
"Hotel 99",104,"aumenterei la disponibilit  di affettati   formaggi nella prima colazione","Neg","Cagliari","4-Star"
"Hotel 189",3,"area parcheggio coperto da aumentare accesso alla spiaggia da rendere pi  elegante","Neg","Ogliastra","3-Star"
"Hotel 574",7,"il servizio e la cucina ","Pos","Sassari","3-Star"
"Hotel 610",59,"terraces  centrally located within the village","Pos","Olbia-Tempio","Other Facilities"
"Hotel 310",23,"first floor room right by the entrance to the hotel   it was rather noisy early in the morning   quite disturbing from 06 30 hrs   we had the window open as it wasn t warm enough to put the rather loud air con on   also the bathroom was rather tired ","Neg","Cagliari","5-Star"
"Hotel 43",274,"minimalist hotel in terms of staff   only receptionist and a couple of people hovering at breakfast   and decor  which suits us  good choice at breakfast on 4th floor and nice to have a view across the bay at shaded tables  great de luxe room with big shower room  balcony overlooking sea between apartment buildings and 6ft bed  good wifi too  easy walk into old town for evening meal  big beach right opposite  fine sand  complemented by 5th floor pool at hotel with comfy loungers ","Pos","Oristano","3-Star"
"Hotel 195",168,"la posizione   buona  la prima colazione nella norma il letto molto comodo ","Pos","Cagliari","Other Facilities"
"Hotel 128",122,"la   posizione ","Pos","Carbonia-Iglesias","3-Star"
"Hotel 287",133,"la cortesia e simpatia di tutto lo staff   colazione ottima  pulizia ","Pos","Cagliari","3-Star"
"Hotel 311",58,"la colazione non prevede english breakfast  ma piu tendente al dolce con un po di affettati e formaggi","Neg","Ogliastra","3-Star"
"Hotel 337",35,"posizione  gentilezza del personale cucina del ristorante ottima","Pos","Olbia-Tempio","4-Star"
"Hotel 243",55,"posizione e vista mare da camera e ristorante  disponibilit  personale ","Pos","Cagliari","4-Star"
"Hotel 500",115,"non ho da dire niente su questo","Neg","Olbia-Tempio","3-Star"
"Hotel 308",2,"accolti con totale indifferenza senza neanche un saluto  non ci sono state fornite alcune informazioni sulla struttura completamente non attinente alle foto e alla descrizione  camera maleodornate con mobilia fatiscente  al momento della colazione abbiamo trovato merendine confezionate sala sporca e trasandata con persone che dormivano in terra e sulle poltrone all ingresso   dovevamo soggiornare due giorni ma siamo scappati al mattino pagando la penale            ","Neg","Cagliari","4-Star"
"Hotel 427",121,"la disponibilit  e la gentilezza dello staff  la colazione  il parcheggio  la terrazza panoramica ","Pos","Olbia-Tempio","4-Star"
"Hotel 199",24,"very pleasant location","Pos","Cagliari","5-Star"
"Hotel 396",420,"we particularly iiked the staff service  we found them very helpful and always willing to help  this seemed to be a positive in all areas of the hotel  the food at breakfast as well as at lunch and dinner was also very good   fresh  tasty and well prepared and served  ","Pos","Olbia-Tempio","3-Star"
"Hotel 111",14,"casa mobile carina e pulita  seppur piccolissima ","Pos","Oristano","4-Star"
"Hotel 153",36,"niente  tutto perfetto","Neg","Oristano","Other Facilities"
"Hotel 337",91,"wi fi connection did not work at rooms and very slow in the public area ","Neg","Olbia-Tempio","4-Star"
"Hotel 525",400,"tutto lo staff molto cortese  sorridentee attento camere confortevoli e pulite ristorante buonissimo","Pos","Olbia-Tempio","3-Star"
"Hotel 400",272,"nel corridoio le luci erano automatiche con fotocellula  ma non funzionavano all uscite della camera","Neg","Olbia-Tempio","4-Star"
"Hotel 388",144,"prezzo","Pos","Olbia-Tempio","3-Star"
"Hotel 578",412,"tutto ok","Pos","Olbia-Tempio","Other Facilities"
"Hotel 263",42,"verry noisy rooms you can hear everything of the first four neighbours    room was outdated","Neg","Cagliari","Other Facilities"
"Hotel 490",230,"grazioso con camere dotate di fantastiche terrazze vista sul porto  personale accogliente ottimo rapporto qualit  prezzo  lo consiglio cos  come il rist da vittorio a pochi passi dall albergo","Pos","Sassari","Other Facilities"
"Hotel 420",195,"assenza di tapparelle alle finestre  alle 6 di mattino ero gi  sveglio a causa della luce del sole  le tende non sono sufficienti per oscurare ","Neg","Olbia-Tempio","3-Star"
"Hotel 272",33,"la tranquillit  del posto e il verde della struttura","Pos","Ogliastra","4-Star"
"Hotel 99",24,"nella struttura non   presente l acensore ","Neg","Cagliari","4-Star"
"Hotel 490",69,"sarebbe gradito un chek out pi  lasso quando la partenza e nel pomeriggio della domenica","Neg","Sassari","Other Facilities"
"Hotel 55",11,"hotel is real 4 star hotel    not only stuff is great  but first and foremost   hotel itself   the interior design and the details were exactly as anyone could expect from 4 stars hotel  i was very pleased for the first time of my life that hotel can keep their promise of great experience    ","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 132",49,"this hotel is a very cozy and designed very sardinian style kind of hotel located in the very upper class area of sardinia  they have superb services and all the staff were very polite and helpful  the have a lot of staff in the reception and valet who can guide and help you around  the classic double room was designed in very old school sardinian style and somehow gave a romantic vibe  the bathroom was beautiful designed in marbles and the room had a walk in closet and a outer patio  the bed was super comfortable and i fell asleep right away because it was so comfortable  the best part is that they have a private beach  totally isolated in another part of porto cervo that you need to go there by speedboat  that was amazing    a quiet private beach with sparkling turquoise water  where you can relax on comfortable sunbeds ","Pos","Cagliari","4-Star"
"Hotel 583",71,"ristorante personale","Pos","Sassari","3-Star"
"Hotel 614",71,"pulizia della camera da lode  aspetto dell hotel particolare e non legato all immagine d hotel degli anni 80 90 ma con richiami d immagine alle origini sarde  cosa per me molto positiva  i ragazzi della hall davvero simpaticissimi e disponibili ","Pos","Olbia-Tempio","4-Star"
"Hotel 192",64,"il bagno non aveva la finestra  ma per un breve soggiorno non   un problema ","Neg","Oristano","4-Star"
"Hotel 204",15,"ottima la vicinanza con l aeroporto di alghero  anche se ci sarebbe bisogno di maggiori indicazioni  le camere sono confortevoli  grandi sufficientemente e non rumorose  abbiamo avuto modo di cenare al ristorante interno  da bruno  ed abbiamo mangiato veramente bene  preparati i camerieri a qualsiasi domanda inerente il piatto riportato sul men   ma anche lo staff della reception ha dimostrato gentilezza  e preparazione  buona vicinanza con nuraghe  siti archeologici  mare  ma anche la bella citt  di alghero ","Pos","Nuoro","Other Facilities"
"Hotel 491",113,"the pictures made a much better impression than for the reality  noise from the street ","Neg","Olbia-Tempio","5-Star"
"Hotel 422",15,"resta il panorama   la cortesia se pur formale degli addetti ","Pos","Olbia-Tempio","4-Star"
"Hotel 12",26,"la natura","Pos","Oristano","3-Star"
"Hotel 160",23,"ottima prima colazione con molta scelta e notevole gentilezza del personale di sala e di reception  buon ristorante all aperto con una scelta di piatti pi  che sufficiente","Pos","Cagliari","Other Facilities"
"Hotel 274",150,"ottima permanenza  colazione doc e servizio impeccabile","Pos","Nuoro","4-Star"
"Hotel 101",123,"nothing ","Neg","Oristano","3-Star"
"Hotel 196",155,"aggiungerei delle zone d ombra sul mare","Neg","Cagliari","4-Star"
"Hotel 166",33,"agriturismo bello situato in mezzo al verde  gli appartamenti sono spaziosi e puliti  l accoglienza  la cordialit  e la gentilezza la fanno da padrona    silvia   una persona squisita in grado di intrattenere e organizzare delle cene favolose anche grazie alla cucina di sua mamma  noi abbiamo gustato 2 cene tipiche sarde ottime  antipasti  2 primi  1 secondo  dolce  acqua  vino e liquori fatti in casa a volont     peccato per il marted  sera  che siamo partiti  e non abbiamo potuto assaggiare il men  di pesce  decantato come ottimo dagli altri ospiti che hanno avuto la fortuna di provarlo   un posto dove ti senti a casa  ti pu  rilassare e godere la tranquillit  delle serate immersi nel verde chiacchierando con i titolari e gli altri ospiti  ","Pos","Cagliari","4-Star"
